race_id,year,round,session,driver,team,best_lap_secs,sector1_secs,sector2_secs,sector3_secs,tyre_compound,tyre_life,avg_air_temp,avg_track_temp,avg_humidity,rainfall
2026_R07,2026,7,FP1,VER,,77.047,22.406,31.126,23.515,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,BOR,,78.209,22.69,31.614,23.905,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,GAS,,78.508,22.879,31.899,23.73,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,ALO,,80.067,23.165,32.47,24.432,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,LEC,,76.883,22.532,30.905,23.446,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,STR,,80.318,23.986,32.261,24.071,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,HER,,80.697,23.664,32.629,24.404,SOFT,5.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,LAW,,77.472,22.455,31.285,23.732,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,OCO,,78.372,22.823,31.559,23.99,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,IWA,,78.298,22.823,31.582,23.893,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,BEG,,77.778,22.825,31.368,23.585,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,LIN,,77.804,22.738,31.305,23.761,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,COL,,77.893,22.614,31.541,23.738,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,SAI,,78.293,22.783,31.665,23.845,SOFT,3.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,RUS,,76.363,22.28,30.798,23.285,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,FOR,,77.216,22.584,31.338,23.294,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,VES,,78.365,23.212,31.606,23.547,SOFT,8.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,BOT,,78.914,23.101,31.785,24.028,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,PIA,,76.566,22.225,31.068,23.273,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,BEA,,78.172,22.724,31.453,23.995,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP1,ARO,,77.321,22.474,31.371,23.476,SOFT,2.0,29.31,48.67,33.31,0
2026_R07,2026,7,FP2,NOR,McLaren,75.426,22.045,30.475,22.906,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,VER,Red Bull Racing,76.321,22.256,30.79,23.275,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,BOR,Audi,76.611,22.399,31.028,23.184,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,HAD,Red Bull Racing,76.674,22.36,30.886,23.428,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,GAS,Alpine,77.26,22.631,31.143,23.486,SOFT,4.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,PER,Cadillac,79.261,23.125,31.594,24.542,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,ANT,Mercedes,76.015,22.086,30.806,23.123,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,ALO,Aston Martin,79.286,23.084,32.079,24.123,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,LEC,Ferrari,75.799,22.247,30.459,23.093,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,STR,Aston Martin,79.459,23.359,31.895,24.205,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,ALB,Williams,78.79,23.205,31.89,23.695,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,HUL,Audi,76.934,22.418,31.111,23.405,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,LAW,Racing Bulls,76.967,22.537,30.935,23.495,MEDIUM,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,OCO,Haas F1 Team,77.538,22.402,31.157,23.979,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,LIN,Racing Bulls,76.411,22.2,30.866,23.345,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,COL,Alpine,77.051,22.306,31.191,23.554,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,HAM,Ferrari,76.631,22.293,31.049,23.289,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,SAI,Williams,77.02,22.332,31.252,23.436,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,RUS,Mercedes,75.435,21.917,30.574,22.944,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,BOT,Cadillac,78.225,23.077,31.461,23.687,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,PIA,McLaren,75.483,22.055,30.532,22.896,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP2,BEA,Haas F1 Team,76.945,22.335,31.127,23.483,SOFT,2.0,29.5,47.32,31.63,0
2026_R07,2026,7,FP1,VER,,77.047,22.406,31.126,23.515,SOFT,2.0,29.31,48.67,33.31,0
