race_id,driver,team,grid_pos,q1_secs,q2_secs,q3_secs
2025_R01,NOR,McLaren,1.0,75.912,75.415,75.096
2025_R01,PIA,McLaren,2.0,76.062,75.468,75.18
2025_R01,VER,Red Bull Racing,3.0,76.018,75.565,75.481
2025_R01,RUS,Mercedes,4.0,75.971,75.798,75.546
2025_R01,TSU,Racing Bulls,5.0,76.225,76.009,75.67
2025_R01,ALB,Williams,6.0,76.245,76.017,75.737
2025_R01,LEC,Ferrari,7.0,76.029,75.827,75.755
2025_R01,HAM,Ferrari,8.0,76.213,75.919,75.973
2025_R01,GAS,Alpine,9.0,76.328,76.112,75.98
2025_R01,SAI,Williams,10.0,76.36,75.931,76.062
2025_R01,HAD,Racing Bulls,11.0,76.354,76.175,
2025_R01,ALO,Aston Martin,12.0,76.288,76.453,
2025_R01,STR,Aston Martin,13.0,76.369,76.483,
2025_R01,DOO,Alpine,14.0,76.315,76.863,
2025_R01,BOR,Kick Sauber,15.0,76.516,77.52,
2025_R01,ANT,Mercedes,16.0,76.525,,
2025_R01,HUL,Kick Sauber,17.0,76.579,,
2025_R01,LAW,Red Bull Racing,18.0,77.094,,
2025_R01,OCO,Haas F1 Team,19.0,77.147,,
2025_R01,BEA,Haas F1 Team,20.0,,,
2025_R02,PIA,McLaren,1.0,91.591,91.2,90.641
2025_R02,RUS,Mercedes,2.0,91.295,91.307,90.723
2025_R02,NOR,McLaren,3.0,90.983,90.787,90.793
2025_R02,VER,Red Bull Racing,4.0,91.424,91.142,90.817
2025_R02,HAM,Ferrari,5.0,91.69,91.501,90.927
2025_R02,LEC,Ferrari,6.0,91.579,91.45,91.021
2025_R02,HAD,Racing Bulls,7.0,91.162,91.253,91.079
2025_R02,ANT,Mercedes,8.0,91.676,91.59,91.103
2025_R02,TSU,Racing Bulls,9.0,91.238,91.26,91.638
2025_R02,ALB,Williams,10.0,91.503,91.595,91.706
2025_R02,OCO,Haas F1 Team,11.0,91.876,91.625,
2025_R02,HUL,Kick Sauber,12.0,91.921,91.632,
2025_R02,ALO,Aston Martin,13.0,91.719,91.688,
2025_R02,STR,Aston Martin,14.0,91.923,91.773,
2025_R02,SAI,Williams,15.0,91.628,91.84,
2025_R02,GAS,Alpine,16.0,91.992,,
2025_R02,BEA,Haas F1 Team,17.0,92.018,,
2025_R02,DOO,Alpine,18.0,92.092,,
2025_R02,BOR,Kick Sauber,19.0,92.141,,
2025_R02,LAW,Red Bull Racing,20.0,92.174,,
2025_R03,VER,Red Bull Racing,1.0,87.943,87.502,86.983
2025_R03,NOR,McLaren,2.0,87.845,87.146,86.995
2025_R03,PIA,McLaren,3.0,87.687,87.507,87.027
2025_R03,LEC,Ferrari,4.0,87.92,87.555,87.299
2025_R03,RUS,Mercedes,5.0,87.843,87.4,87.318
2025_R03,ANT,Mercedes,6.0,87.968,87.639,87.555
2025_R03,HAD,Racing Bulls,7.0,88.278,87.775,87.569
2025_R03,HAM,Ferrari,8.0,87.942,87.61,87.61
2025_R03,ALB,Williams,9.0,88.218,87.783,87.615
2025_R03,BEA,Haas F1 Team,10.0,88.228,87.711,87.867
2025_R03,GAS,Alpine,11.0,88.186,87.822,
2025_R03,SAI,Williams,12.0,88.209,87.836,
2025_R03,ALO,Aston Martin,13.0,88.337,87.897,
2025_R03,LAW,Racing Bulls,14.0,88.554,87.906,
2025_R03,TSU,Red Bull Racing,15.0,87.967,88.0,
2025_R03,HUL,Kick Sauber,16.0,88.57,,
2025_R03,BOR,Kick Sauber,17.0,88.622,,
2025_R03,OCO,Haas F1 Team,18.0,88.696,,
2025_R03,DOO,Alpine,19.0,88.877,,
2025_R03,STR,Aston Martin,20.0,89.271,,
2025_R04,PIA,McLaren,1.0,91.392,90.454,89.841
2025_R04,RUS,Mercedes,2.0,91.494,90.664,90.009
2025_R04,LEC,Ferrari,3.0,91.454,90.724,90.175
2025_R04,ANT,Mercedes,4.0,91.415,90.716,90.213
2025_R04,GAS,Alpine,5.0,91.462,90.643,90.216
2025_R04,NOR,McLaren,6.0,91.107,90.56,90.267
2025_R04,VER,Red Bull Racing,7.0,91.303,91.019,90.423
2025_R04,SAI,Williams,8.0,91.591,90.844,90.68
2025_R04,HAM,Ferrari,9.0,91.219,91.009,90.772
2025_R04,TSU,Red Bull Racing,10.0,91.751,91.228,91.303
2025_R04,DOO,Alpine,11.0,91.414,91.245,
2025_R04,HAD,Racing Bulls,12.0,91.591,91.271,
2025_R04,ALO,Aston Martin,13.0,91.634,91.886,
2025_R04,OCO,Haas F1 Team,14.0,91.594,,
2025_R04,ALB,Williams,15.0,92.04,,
2025_R04,HUL,Kick Sauber,16.0,92.067,,
2025_R04,LAW,Racing Bulls,17.0,92.165,,
2025_R04,BOR,Kick Sauber,18.0,92.186,,
2025_R04,STR,Aston Martin,19.0,92.283,,
