race_id,year,round,race_name,circuit,date,driver,team,finish_pos,grid_pos,points,sprint_pts,status
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,RUS,Mercedes,1.0,1.0,25.0,0.0,Finished
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,ANT,Mercedes,2.0,2.0,18.0,0.0,Finished
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,LEC,Ferrari,3.0,4.0,15.0,0.0,Finished
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,HAM,Ferrari,4.0,7.0,12.0,0.0,Finished
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,NOR,McLaren,5.0,6.0,10.0,0.0,Finished
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,VER,Red Bull Racing,6.0,20.0,8.0,0.0,Finished
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,BEA,Haas F1 Team,7.0,12.0,6.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,LIN,Racing Bulls,8.0,9.0,4.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,BOR,Audi,9.0,10.0,2.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,GAS,Alpine,10.0,14.0,1.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,OCO,Haas F1 Team,11.0,13.0,0.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,ALB,Williams,12.0,15.0,0.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,LAW,Racing Bulls,13.0,8.0,0.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,COL,Alpine,14.0,16.0,0.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,SAI,Williams,15.0,21.0,0.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,PER,Cadillac,16.0,18.0,0.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,STR,Aston Martin,17.0,22.0,0.0,0.0,Lapped
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,ALO,Aston Martin,18.0,17.0,0.0,0.0,Retired
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,BOT,Cadillac,19.0,19.0,0.0,0.0,Retired
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,HAD,Red Bull Racing,20.0,3.0,0.0,0.0,Retired
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,PIA,McLaren,21.0,5.0,0.0,0.0,Did not start
2026_R01,2026,1,Australian Grand Prix,Melbourne,2026-03-08,HUL,Audi,22.0,11.0,0.0,0.0,Did not start
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,ANT,Mercedes,1.0,1.0,25.0,4.0,Finished
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,RUS,Mercedes,2.0,2.0,18.0,8.0,Finished
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,HAM,Ferrari,3.0,3.0,15.0,6.0,Finished
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,LEC,Ferrari,4.0,4.0,12.0,7.0,Finished
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,BEA,Haas F1 Team,5.0,10.0,10.0,1.0,Finished
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,GAS,Alpine,6.0,7.0,8.0,0.0,Finished
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,LAW,Racing Bulls,7.0,14.0,6.0,2.0,Finished
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,HAD,Red Bull Racing,8.0,9.0,4.0,0.0,Finished
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,SAI,Williams,9.0,17.0,2.0,0.0,Lapped
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,COL,Alpine,10.0,12.0,1.0,0.0,Lapped
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,HUL,Audi,11.0,11.0,0.0,0.0,Lapped
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,LIN,Racing Bulls,12.0,15.0,0.0,0.0,Lapped
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,BOT,Cadillac,13.0,19.0,0.0,0.0,Lapped
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,OCO,Haas F1 Team,14.0,13.0,0.0,0.0,Lapped
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,PER,Cadillac,15.0,21.0,0.0,0.0,Lapped
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,VER,Red Bull Racing,16.0,8.0,0.0,0.0,Retired
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,ALO,Aston Martin,17.0,18.0,0.0,0.0,Retired
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,STR,Aston Martin,18.0,20.0,0.0,0.0,Retired
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,PIA,McLaren,19.0,5.0,0.0,3.0,Did not start
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,NOR,McLaren,20.0,6.0,0.0,5.0,Did not start
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,BOR,Audi,21.0,16.0,0.0,0.0,Did not start
2026_R02,2026,2,Chinese Grand Prix,Shanghai,2026-03-15,ALB,Williams,22.0,22.0,0.0,0.0,Did not start
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,ANT,Mercedes,1.0,1.0,25.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,PIA,McLaren,2.0,3.0,18.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,LEC,Ferrari,3.0,4.0,15.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,RUS,Mercedes,4.0,2.0,12.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,NOR,McLaren,5.0,5.0,10.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,HAM,Ferrari,6.0,6.0,8.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,GAS,Alpine,7.0,7.0,6.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,VER,Red Bull Racing,8.0,11.0,4.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,LAW,Racing Bulls,9.0,14.0,2.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,OCO,Haas F1 Team,10.0,12.0,1.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,HUL,Audi,11.0,13.0,0.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,HAD,Red Bull Racing,12.0,8.0,0.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,BOR,Audi,13.0,9.0,0.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,LIN,Racing Bulls,14.0,10.0,0.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,SAI,Williams,15.0,16.0,0.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,COL,Alpine,16.0,15.0,0.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,PER,Cadillac,17.0,19.0,0.0,0.0,Finished
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,ALO,Aston Martin,18.0,21.0,0.0,0.0,Lapped
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,BOT,Cadillac,19.0,20.0,0.0,0.0,Lapped
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,ALB,Williams,20.0,17.0,0.0,0.0,Lapped
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,STR,Aston Martin,21.0,22.0,0.0,0.0,Retired
2026_R03,2026,3,Japanese Grand Prix,Suzuka,2026-03-29,BEA,Haas F1 Team,22.0,18.0,0.0,0.0,Retired
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,ANT,Mercedes,1.0,1.0,25.0,3.0,Finished
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,NOR,McLaren,2.0,4.0,18.0,8.0,Finished
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,PIA,McLaren,3.0,7.0,15.0,7.0,Finished
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,RUS,Mercedes,4.0,5.0,12.0,5.0,Finished
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,VER,Red Bull Racing,5.0,2.0,10.0,4.0,Finished
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,HAM,Ferrari,6.0,6.0,8.0,2.0,Finished
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,COL,Alpine,7.0,8.0,6.0,0.0,Finished
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,LEC,Ferrari,8.0,3.0,4.0,6.0,Finished
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,SAI,Williams,9.0,13.0,2.0,0.0,Finished
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,ALB,Williams,10.0,15.0,1.0,0.0,Finished
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,BEA,Haas F1 Team,11.0,12.0,0.0,0.0,Lapped
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,BOR,Audi,12.0,21.0,0.0,0.0,Lapped
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,OCO,Haas F1 Team,13.0,14.0,0.0,0.0,Lapped
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,LIN,Racing Bulls,14.0,16.0,0.0,0.0,Lapped
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,ALO,Aston Martin,15.0,17.0,0.0,0.0,Lapped
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,PER,Cadillac,16.0,20.0,0.0,0.0,Lapped
2026_R04,2026,4,Miami Grand Prix,Miami Gardens,2026-05-03,STR,Aston Martin,17.0,18.0,0.0,0.0,Lapped
