race_id,session,avg_air_temp,avg_track_temp,avg_humidity,avg_wind_speed,rainfall
2025_R01,R,15.71,18.94,78.42,3.48,1
2025_R02,R,27.22,35.82,18.23,2.19,0
2025_R03,R,14.43,20.51,76.37,1.2,0
2025_R04,R,27.05,31.87,45.33,2.11,0
2025_R05,R,29.48,37.82,62.73,1.03,0
2025_R06,R,26.57,38.69,63.02,1.05,1
2025_R07,R,23.96,42.66,38.31,3.25,0
2025_R08,R,22.21,43.32,52.52,0.98,0
2025_R09,R,29.12,48.54,54.63,1.63,0
2025_R10,R,24.04,49.25,27.98,1.04,1
2025_R11,R,30.35,49.17,31.98,1.62,0
2025_R12,R,17.92,23.58,78.37,1.48,1
2025_R13,R,17.03,24.09,84.44,1.45,1
2025_R14,R,22.08,32.73,57.24,2.15,0
2025_R15,R,20.08,27.96,71.18,2.17,0
2025_R16,R,26.76,43.29,42.6,1.96,0
2025_R17,R,20.55,26.11,59.83,1.51,0
2025_R18,R,29.07,33.85,74.36,1.11,1
2025_R19,R,28.27,45.04,22.53,2.08,0
2025_R20,R,26.41,50.59,23.23,1.85,0
2025_R21,R,17.35,30.69,70.57,1.51,0
2025_R22,R,16.73,19.53,37.77,1.44,0
2025_R23,R,22.6,28.16,69.05,1.25,0
2025_R24,R,26.67,31.06,60.44,1.57,0
